Song 1/30, page 1/6, title = Akcent(pl) - Biała Mewa (time: 11:57:09).
Song 2/30, page 1/6, title = Akcent(pl) - Biorę urlop od Ciebie 2010 (time: 11:57:09).
Song 3/30, page 1/6, title = Akcent(pl) - Blask oczu (time: 11:57:10).
Song 4/30, page 1/6, title = Akcent(pl) - Bo ja dobrze o tym wiem (time: 11:57:11).
Song 5/30, page 1/6, title = Akcent(pl) - Całuj Mnie (time: 11:57:11).
Song 6/30, page 1/6, title = Akcent(pl) - Cansas (time: 11:57:12).
Song 7/30, page 1/6, title = Akcent(pl) - Chałupy welcome to (time: 11:57:13).
Song 8/30, page 1/6, title = Akcent(pl) - Chłopak z gitarą (time: 11:57:13).
Song 9/30, page 1/6, title = Akcent(pl) - Cinzano (time: 11:57:14).
Song 10/30, page 1/6, title = Akcent(pl) - Cudowny sen (time: 11:57:15).
Song 11/30, page 1/6, title = Akcent(pl) - Cygańska gitara (time: 11:57:15).
Song 12/30, page 1/6, title = Akcent(pl) - Cygańskie wspomnienie (time: 11:57:16).
Song 13/30, page 1/6, title = Akcent(pl) - Czarne oczy (time: 11:57:17).
Song 14/30, page 1/6, title = Akcent(pl) - Czas jesienny (time: 11:57:18).
Song 15/30, page 1/6, title = Akcent(pl) - Czekam mała na Twą miłość (time: 11:57:19).
Song 16/30, page 1/6, title = Akcent(pl) - Czekam na Ciebie (time: 11:57:19).
Song 17/30, page 1/6, title = Akcent(pl) - Czemu jesteś taka dziewczyno (time: 11:57:20).
Song 18/30, page 1/6, title = Akcent(pl) - Czy tak, czy nie (time: 11:57:21).
Song 19/30, page 1/6, title = Akcent(pl) - Czy to ja (time: 11:57:22).
Song 20/30, page 1/6, title = Akcent(pl) - Dajcie mi gitarę (time: 11:57:22).
Song 21/30, page 1/6, title = Akcent(pl) - Daleko do gwiazd (time: 11:57:23).
Song 22/30, page 1/6, title = Akcent(pl) - Deszczowe łzy (time: 11:57:24).
Song 23/30, page 1/6, title = Akcent(pl) - Dla nas (time: 11:57:28).
Song 24/30, page 1/6, title = Akcent(pl) - Dlaczego (time: 11:57:28).
Song 25/30, page 1/6, title = Akcent(pl) - Dlaczego To Tak (time: 11:57:29).
Song 26/30, page 1/6, title = Akcent(pl) - Do Ciebie Aniu (time: 11:57:30).
Song 27/30, page 1/6, title = Akcent(pl) - Dusza cygana (time: 11:57:31).
Song 28/30, page 1/6, title = Akcent(pl) - Dziewczę (time: 11:57:32).
Song 29/30, page 1/6, title = Akcent(pl) - Dziewczyna jedyna (time: 11:57:32).
Song 30/30, page 1/6, title = Akcent(pl) - Dziewczyna z klubu disco (time: 11:57:33).
Song 1/30, page 2/6, title = Akcent(pl) - Dziewczyna z konwaliami (time: 11:57:34).
Song 2/30, page 2/6, title = Akcent(pl) - Dziewczyna ze snu (time: 11:57:35).
Song 3/30, page 2/6, title = Akcent(pl) - Dźwięki strun (time: 11:57:36).
Song 4/30, page 2/6, title = Akcent(pl) - Ech ty życie (time: 11:57:36).
Song 5/30, page 2/6, title = Akcent(pl) - Ela (time: 11:57:37).
Song 6/30, page 2/6, title = Akcent(pl) - Gdzie jesteś gdzie (time: 11:57:38).
Song 7/30, page 2/6, title = Akcent(pl) - Graj gitaro (time: 11:57:39).
Song 8/30, page 2/6, title = Akcent(pl) - Granica (time: 11:57:40).
Song 9/30, page 2/6, title = Akcent(pl) - Hallo (time: 11:57:40).
Song 10/30, page 2/6, title = Akcent(pl) - Harem (time: 11:57:41).
Song 11/30, page 2/6, title = Akcent(pl) - Hej Ty (time: 11:57:42).
Song 12/30, page 2/6, title = Akcent(pl) - Iwona (time: 11:57:42).
Song 13/30, page 2/6, title = Akcent(pl) - Ja gnam przed siebie (time: 11:57:44).
Song 14/30, page 2/6, title = Akcent(pl) - Ja płaczę nocą (time: 11:57:45).
Song 15/30, page 2/6, title = Akcent(pl) - Jedna noc (time: 11:57:46).
Song 16/30, page 2/6, title = Akcent(pl) - Jedno słowo (time: 11:57:46).
Song 17/30, page 2/6, title = Akcent(pl) - Jestem sam (time: 11:57:47).
Song 18/30, page 2/6, title = Akcent(pl) - Jesteś moja (time: 11:57:48).
Song 19/30, page 2/6, title = Akcent(pl) - Jeszcze poczekajmy (time: 11:57:49).
Song 20/30, page 2/6, title = Akcent(pl) - Jeśli chcesz (time: 11:57:49).
Song 21/30, page 2/6, title = Akcent(pl) - Jeśli kochasz (time: 11:57:50).
Song 22/30, page 2/6, title = Akcent(pl) - Kiedy miasto (time: 11:57:51).
Song 23/30, page 2/6, title = Akcent(pl) - Kocham Ciebie Dziewczyno (time: 11:57:52).
Song 24/30, page 2/6, title = Akcent(pl) - Kochana wierzę w miłość (time: 11:57:52).
Song 25/30, page 2/6, title = Akcent(pl) - Kolorowy dzień (time: 11:57:53).
Song 26/30, page 2/6, title = Akcent(pl) - Kolysanka Dla Ukochanej (time: 11:57:54).
Song 27/30, page 2/6, title = Akcent(pl) - Kopciuszek (time: 11:57:54).
Song 28/30, page 2/6, title = Akcent(pl) - Królowa nocy (time: 11:57:55).
Song 29/30, page 2/6, title = Akcent(pl) - Którą drogę (time: 11:57:56).
Song 30/30, page 2/6, title = Akcent(pl) - La la la laj (time: 11:57:56).
Song 1/30, page 3/6, title = Akcent(pl) - Lambada nad brzegiem morza (time: 11:57:58).
Song 2/30, page 3/6, title = Akcent(pl) - Lato jest po to (time: 11:57:58).
Song 3/30, page 3/6, title = Akcent(pl) - Laura (time: 11:57:59).
Song 4/30, page 3/6, title = Akcent(pl) - Leć kolędo w świat (time: 11:58:00).
Song 5/30, page 3/6, title = Akcent(pl) - Magda (time: 11:58:00).
Song 6/30, page 3/6, title = Akcent(pl) - Magia Świąt (time: 11:58:01).
Song 7/30, page 3/6, title = Akcent(pl) - Maleńka miłość (time: 11:58:02).
Song 8/30, page 3/6, title = Akcent(pl) - Mała Figlarka (Małgorzata) (time: 11:58:02).
Song 9/30, page 3/6, title = Akcent(pl) - Mała oo (time: 11:58:03).
Song 10/30, page 3/6, title = Akcent(pl) - Małgorzata (time: 11:58:04).
Song 11/30, page 3/6, title = Akcent(pl) - Mamo... (time: 11:58:04).
Song 12/30, page 3/6, title = Akcent(pl) - Matczyne przestrogi (time: 11:58:05).
Song 13/30, page 3/6, title = Akcent(pl) - Mercedesy (time: 11:58:06).
Song 14/30, page 3/6, title = Akcent(pl) - Między nami (time: 11:58:07).
Song 15/30, page 3/6, title = Akcent(pl) - Miła ma (time: 11:58:07).
Song 16/30, page 3/6, title = Akcent(pl) - Moja gwiazda (time: 11:58:08).
Song 17/30, page 3/6, title = Akcent(pl) - Moja piosenka (time: 11:58:09).
Song 18/30, page 3/6, title = Akcent(pl) - Na Twym zdjęciu (time: 11:58:10).
Song 19/30, page 3/6, title = Akcent(pl) - Na zawsze Ty (time: 11:58:11).
Song 20/30, page 3/6, title = Akcent(pl) - Nam nie mogło udać się (time: 11:58:11).
Song 21/30, page 3/6, title = Akcent(pl) - Nastroje we dwoje (time: 11:58:12).
Song 22/30, page 3/6, title = Akcent(pl) - Nie będziesz moją (time: 11:58:13).
Song 23/30, page 3/6, title = Akcent(pl) - Nie wiem czego chcę (time: 11:58:13).
